station_id,triplet,name,state,lat,lon,elevation_m
1270,1270:AK:SNTL,Heen Latinee,AK,58.69652,-134.86448,640.1
1318,1318:AK:SNTL,Hoonah,AK,58.12411,-135.413,463.3
2210,2210:AK:SNTL,Hozatka Lake,AK,65.19405,-156.64113,67.1
968,968:AK:SNTL,Imnaviat Creek,AK,68.61652,-149.3033,932.7
1091,1091:AK:SNTL,Independence Mine,AK,61.79001,-149.2839,1051.6
946,946:AK:SNTL,Indian Pass,AK,61.06577,-149.48543,731.5
1275,1275:AK:SNTL,Jack Wade Jct,AK,64.14797,-141.32985,1115.6
1036,1036:AK:SNTL,Johnsons Camp,AK,64.5646,-164.29257,3.0
1072,1072:AK:SNTL,Kantishna,AK,63.53667,-150.98593,484.6
1175,1175:AK:SNTL,Kelly Station,AK,67.9297,-162.2906,91.4
966,966:AK:SNTL,Kenai Moose Pens,AK,60.72499,-150.47369,88.4
947,947:AK:SNTL,Little Chena Ridge,AK,65.12422,-146.7339,655.3
1001,1001:AK:SNTL,Long Lake,AK,58.186,-133.83217,256.0
768,768:AK:SNTL,Look Eyrie,AK,63.32192,-145.59655,1536.2
1265,1265:AK:SNTL,Lower Kachemak Creek,AK,59.73516,-150.69429,597.4
1096,1096:AK:SNTL,May Creek,AK,61.34918,-142.69355,472.4
785,785:AK:SNTL,McGrath,AK,62.94652,-155.6102,103.6
1003,1003:AK:SNTL,Mcneil Canyon,AK,59.74521,-151.25839,411.5
1191,1191:AK:SNTL,Mcneil River SGS,AK,59.08358,-154.27785,33.5
1064,1064:AK:SNTL,Middle Fork Bradley,AK,59.77711,-150.75698,710.2
1094,1094:AK:SNTL,Monahan Flat,AK,63.30464,-147.64883,819.9
949,949:AK:SNTL,Monument Creek,AK,65.07738,-145.87358,560.8
1176,1176:AK:SNTL,Moore Creek Bridge,AK,59.58668,-135.19455,685.8
1035,1035:AK:SNTL,Moraine,AK,61.37727,-148.99917,612.6
1103,1103:AK:SNTL,Mt. Alyeska,AK,60.95842,-149.08858,457.2
1073,1073:AK:SNTL,Mt. Eyak,AK,60.55648,-145.72201,442.0
948,948:AK:SNTL,Mt. Ryan,AK,65.25113,-146.15133,838.2
950,950:AK:SNTL,Munson Ridge,AK,64.85168,-146.21215,920.5
2081,2081:AK:SNTL,Nenana,AK,64.68582,-148.9113,112.8
